sample_id,platform,environment,scene,app_name,capture_file,label,notes,source_ip,destination_ip,transport_protocol,destination_port,protocol,dst_port,domain,flow_id,packet_count,byte_count,duration,is_background,filter_reason,source_group
Android_pinduoduo_000001,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.31.205.53,UDP,3478,UDP,3478,,6379d3b58d66feb0,6,535,60.024011,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000002,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.31.205.53,UDP,3478,UDP,3478,,76f1e9dd138573b5,6,534,60.029826,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000005,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,202.89.233.100,TCP,443,TCP,443,,e5b29dd2904cdac1,3,162,0.027597,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000006,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:f0a2:c0b7:c623:ca1a,2001::4b7e:96d2,TCP,443,TCP,443,,19324bf2d2941cb8,5,430,15.001315,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000008,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,108.160.166.148,TCP,443,TCP,443,chatgpt.com,f35fb2ec76f2db0d,5,330,15.007415,unknown,domain_not_in_target_or_background_rules,Android
Android_pinduoduo_000009,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.62.49.133,UDP,443,UDP,443,,42cdad7bb78441fc,10,640,60.041721,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000010,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:f0a2:c0b7:c623:ca1a,2001::4b7e:96d2,TCP,443,TCP,443,,0067231e614db7d4,5,430,15.001755,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000011,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,108.160.166.148,TCP,443,TCP,443,chatgpt.com,5043e03c0a2bda66,5,330,15.002955,unknown,domain_not_in_target_or_background_rules,Android
Android_pinduoduo_000012,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.248.49,TCP,443,TCP,443,,b16c57c218e91a19,19,7520,0.241569,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000013,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.248.49,TCP,443,TCP,443,,6998e312baae7063,20,7269,0.189735,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000014,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.248.49,TCP,443,TCP,443,,ad6359080e6f83d3,20,7285,0.157529,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000015,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,da9331c09626f81a,11,3228,0.16356,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000016,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,913e3eccf6293a03,12,3090,0.163472,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000017,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,02e9e74d5174c00a,11,1143,0.149474,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000018,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,93a488117a2e4c1d,10,1061,0.146367,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000019,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.132.33.107,TCP,443,TCP,443,,213dc3fab5cd586b,26,8001,7.552989,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000020,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.248.49,TCP,443,TCP,443,,7f8571cd7faefc2b,18,7149,0.181711,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000022,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.13.110.159,TCP,443,TCP,443,,d298c85d8a83696b,26,8818,7.835953,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000023,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.244.115,TCP,443,TCP,443,,9fc5071d4a5cb2b9,73,61371,0.189555,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000024,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.244.115,TCP,443,TCP,443,,06d91a4e58082fe4,45,38892,0.157663,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000025,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.244.115,TCP,443,TCP,443,,6fe579f21eb22f5d,33,18077,0.171852,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000026,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.13.104.62,TCP,443,TCP,443,,267b834202e7347e,25,7754,8.078085,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000027,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,111.132.32.107,TCP,443,TCP,443,,9eb8151ae7b7c1fe,426,513646,28.525008,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000028,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.244.115,TCP,443,TCP,443,,84fba2541796c633,34,18143,0.389527,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000029,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.244.115,TCP,443,TCP,443,,3ebf7512399455d2,48,39054,0.185136,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000030,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.33.110.146,TCP,80,TCP,80,,2ce001df362c147f,8,2600,23.798035,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000032,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,240c:409f::3:0:359,TCP,80,TCP,80,,37951f1bb1359bb8,4,376,7.024022,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
